asin,model_number,model_name,brand,storage_type,storage_capacity,cpu,cpu_cores,cpu_clock,ram_type,ram_capacity,screen_size,screen_width,screen_height,screen_refresh,battery_capacity,year,price
B0F9ZZDP8M,HP 15,HP Laptops,HP,SSD,640,Intel N200,4,3.7,DDR4,16,15.6,1366,768,60,42,2025,449.98
B0FB14Y9RN,HP 15,HP Laptops,HP,SSD,384,Intel N200,4,3.7,DDR4,8,15.6,1366,768,60,42,2025,419.98
B0F9ZX13N1,HP 15,HP Laptops,HP,SSD,640,Intel N200,4,3.7,DDR4,32,15.6,1366,768,60,42,2025,499.98
B0F167PYK7,DC15250,Dell 15,Dell,SSD,512,Intel Core i5 1334U,10,4.6,DDR4,16,15.6,1920,1080,120,41,2025,529.99
B09R6FNNS1,DC15250,Dell 15,Dell,SSD,512,Intel Core 3 100U,6,4.7,DDR4,8,15.6,1920,1080,120,41,2025,299.99
B0FGQRCZL3,1234,Inspiron 15 3530,Dell,SSD,512,Intel Core i3-1305U,5,4.5,DDR4,8,15.6,1920,1080,120,41,2025,345.0
B0FCTFGTPY,DC15255,Dell 15,Dell,SSD,512,AMD Ryzen 5 7520U,4,2.8,LPDDR5,8,15.6,1920,1080,120,41,2025,369.99
B0G11WY59L,DC15250,Dell 15,Dell,SSD,512,Intel Core i7 1355U,10,3.7,DDR5,16,15.6,1920,1080,120,54,2025,589.98
B0G6FN6PV2,15,Lenovo 15,Lenovo,SSD,512,Intel Core i5,10,4.6,DDR4,12,15.6,1920,1080,60,42,2025,519.99
B0G6FX1NLY,15,Lenovo 15,Lenovo,SSD,1000,Intel Core i5,10,4.6,DDR4,16,15.6,1920,1080,60,42,2025,549.99
B0G6G75Z7N,15,Lenovo 15,Lenovo,SSD,1.5,Intel Core i5,10,4.6,DDR4,16,15.6,1920,1080,60,42,2025,669.99
